Sample_name,proc_dist,centeroid,LM 1_X,LM 1_Y,LM 1_Z,LM 2_X,LM 2_Y,LM 2_Z,LM 3_X,LM 3_Y,LM 3_Z,LM 4_X,LM 4_Y,LM 4_Z,LM 5_X,LM 5_Y,LM 5_Z,LM 6_X,LM 6_Y,LM 6_Z,LM 7_X,LM 7_Y,LM 7_Z,LM 8_X,LM 8_Y,LM 8_Z,LM 9_X,LM 9_Y,LM 9_Z,LM 10_X,LM 10_Y,LM 10_Z,LM 11_X,LM 11_Y,LM 11_Z,LM 12_X,LM 12_Y,LM 12_Z
Bboulengeri BM2002.800,0.16281980027259044,6.313717967763627,0.3901193768734882,0.19754501322923976,0.006623062326016787,-0.3846430208241879,-0.42809536336994924,0.3009408990553581,0.1733813225015083,-0.05668333213859626,-0.182370032024639,0.20105636643267696,-0.05072974974571795,-0.16714454231519787,0.02777033562792234,-0.003647867959196547,-0.010256699622287924,-0.05307954314040598,-0.049725303075195404,0.0318561615388198,0.1695141206422726,0.1963714924941539,0.1835079722092515,-0.11812560809289151,-0.1753552935707399,-0.1988297670517029,0.011365248855987968,0.00010943737439512718,0.041011225501637556,0.1160913054831484,0.07416433782280316,-0.09965784840272503,-0.008421033721558443,0.036030935646565204,0.07072234587507263,-0.08275503197281359,-0.09608111257071855,-0.06257980989179449
Bboulengeri BM2002.848,0.044158844096787504,5.927460486355921,0.39038501970564915,0.20807435162790597,-0.013172694711931303,-0.3595156038152631,-0.405092623686748,0.277626929555243,0.16398990112132497,-0.05028348248577665,-0.1887475470287064,0.19509443321440328,-0.04171016677522838,-0.1766485167208727,0.03008022191590654,-0.023837138896221185,-0.05202090651194962,-0.06003522058987225,-0.04785684852026823,0.0334138007072253,0.15630959969014485,0.1962436192741959,0.21706257552588248,-0.08676887198034479,-0.16345499657290363,-0.19913583404179566,-0.012514410142037101,0.0889220180135903,0.1283659274522521,0.1306239048267129,0.10560661379060719,-0.09902539177672423,-0.02248811078068773,0.004672731048939728,0.016978534838589347,-0.09933138599938772,-0.11806273896099571,-0.12374769231085889
Bboulengeri BM2002.849,0.03809132054557687,6.198021585119805,0.3813122094481291,0.20393538904790823,-0.012690443185247336,-0.37080139150868247,-0.41765320646513127,0.2822706853647665,0.1753062589239005,-0.04644408767582638,-0.18854726676287875,0.19843070261092047,-0.03031658113885415,-0.17480226865900397,0.028594442125463478,-0.018865630305830466,-0.043850848823845795,-0.05952777258449985,-0.04563196301591746,0.033277382248533015,0.1569872224584816,0.1930883142100782,0.20962486528795574,-0.08793574480299139,-0.16343326116595502,-0.2023270056314718,-0.015379712350672566,0.08215685669092433,0.11943618338139239,0.11900173879456734,0.09222848901796012,-0.10066017790167207,-0.03674174165217979,0.015545963675089241,0.04146180465400926,-0.10508580184363558,-0.10402666429132827,-0.10793693817445436
Bboulengeri BM2005.319,0.05736325174055053,7.269758474252474,0.3836364282536564,0.1952813621799495,-0.020810220089377156,-0.35059698983274795,-0.3994196533121948,0.29451744671443286,0.19229188705294273,-0.06031319668798704,-0.20353580656666428,0.20485951553308818,-0.0449939714486559,-0.19091680179644258,0.03598175492888916,-0.021536118698337835,-0.04221339176081249,-0.05141414990684278,-0.04625372056758364,0.03408674210933871,0.1546841656167516,0.1872033653469701,0.21320020870215026,-0.08562759618803711,-0.1684667879722766,-0.20964447161020944,-0.011079297652012153,0.08337062071255145,0.11881041985824323,0.10794864735464231,0.0899828343935495,-0.10683066328129136,-0.029103612562616746,0.024220213023528586,0.039326398513325804,-0.11766029376142101,-0.0956725133807558,-0.10331275321774389
Bboulengeri BM2005.320,0.0697760856189967,6.905181352502553,0.3824613611438627,0.19106549888333432,-0.024402536170120902,-0.3458613764406672,-0.39081363216576925,0.3096288103234498,0.1842473844258093,-0.0632330117377327,-0.20492618949485752,0.20057433760995683,-0.043340853628585606,-0.19539979274867994,0.0409203925940636,-0.0201485940064785,-0.053649956312587045,-0.05977199470808089,-0.04594470549518168,0.03742726870640778,0.15680491464122356,0.1919669158853134,0.2175473530594264,-0.10571284763065418,-0.16326655504618867,-0.19617219168726388,-0.03302631261847323,0.07898675860962302,0.1231314669698166,0.11595385694047511,0.1016021987532314,-0.10816027607443501,0.0019543536450383047,0.010857513925645417,0.019734395577232753,-0.09064381632663247,-0.10421725601908975,-0.11617288338243201
BM2000.476,0.0379891219631594,6.118929103563613,0.3819007288659309,0.1803507592112584,-0.005527760018527923,-0.3632758792786563,-0.4075400568028393,0.2793425169511485,0.17615439653764256,-0.036323059138419066,-0.1921247395608422,0.1822369398588949,-0.023000748552930647,-0.17219309807266003,0.026444124542676205,-0.02620223399732298,-0.03790988930935874,-0.05869565810274973,-0.048639952767704234,0.054052936516933325,0.1507313420109679,0.19824893841779787,0.2348261240664853,-0.09957438402966207,-0.16816260382876344,-0.22511874351929947,-0.024496671375169213,0.08762537416244329,0.12098902409262108,0.11802617509101954,0.10029062261415131,-0.0950013563099774,-0.022476080236557124,0.01975965404994656,0.030416165115183226,-0.10903182558786702,-0.10760606752394164,-0.11849501409185259
BM2000.556,0.03382884971364681,7.160584064133561,0.3936125791923139,0.19460663990465354,-0.004741986348437323,-0.34791964781063345,-0.40089539031769783,0.28812058641745797,0.16928844047357317,-0.053629148980375865,-0.1965227933894982,0.18752960427942034,-0.0407201504321945,-0.1887287329885818,0.03330736572014433,-0.024089939462506788,-0.044079923497116126,-0.052671657824623346,-0.048661088169753515,0.03824922096710798,0.15921213929234937,0.19432283261501254,0.22084764236674084,-0.09442790371854709,-0.1691052706148308,-0.21290341767397739,-0.021076185124153497,0.09486046860380364,0.12263259847449712,0.11481315176004868,0.09409838179146238,-0.10186919642411103,-0.016669251018438823,0.014639256986289264,0.029614099200132613,-0.10784042207822703,-0.10773469354273546,-0.11546820862856791
BM2000.607,0.06618667594940866,6.374681330757722,0.37158228155907946,0.17097733549495978,0.006331530891829694,-0.3797437161044056,-0.42589232714329606,0.27609879111681995,0.1681747971999388,-0.0435850225744762,-0.16361622202909318,0.18444312014089936,-0.017402704194651387,-0.14736786435760482,0.02397540988133615,-0.017964886697962736,-0.04213246302462398,-0.05731870563933566,-0.0507535149634249,0.03954620057203869,0.15996252645212766,0.19358335598596593,0.22989760542191556,-0.09812929745694232,-0.1643771242504253,-0.21628910628066925,-0.02516513088702822,0.09755777626174031,0.1278368534476017,0.12852511835375285,0.10732440951863442,-0.10585022913623986,-0.022572494219236294,0.014092532749108906,0.028663787183164688,-0.10667894391125064,-0.11687909352985013,-0.12685458583039774
BM2000.611,0.05347856194799862,6.5211774493845445,0.3793895881240471,0.19561020640866,0.0018376155434669638,-0.36527049008781004,-0.40603469125401914,0.2720174486593397,0.16340429057872805,-0.04068714273768653,-0.1751110564511115,0.16944335222585538,-0.029588948328518626,-0.16501017268095183,0.02394502796985407,-0.023977469052913154,-0.04733543003734463,-0.060980029771346894,-0.05034128746768182,0.05995314845445786,0.16331439071421247,0.1998191476534452,0.23824419763375715,-0.11370287413855465,-0.16848547793457716,-0.22045334402330846,-0.023088927431098343,0.09020896796756522,0.1350103356909425,0.12858569259191768,0.09634512696569372,-0.09362426018681286,-0.018149555492211433,0.014592873288465306,0.018687279443172826,-0.10698022746830838,-0.11154496388350578,-0.13004234148582053
BM2000.621,0.04946567569016453,6.6319943630696185,0.3756718485800077,0.186268327806779,-0.013608340127870391,-0.367366902824501,-0.4174332709769168,0.27088475334015816,0.1761965615494712,-0.047513667995811346,-0.1718005764879951,0.18826983575615244,-0.02816296581977845,-0.15140560279969575,0.026786905458272586,-0.025961861014166285,-0.045125292273900615,-0.05218303070597692,-0.045219660561282425,0.059642428081890145,0.15479163923464828,0.1982270221374392,0.23520627872378,-0.10373829576554316,-0.17453542020391008,-0.2278907131112507,-0.03401521317531748,0.08693678216466326,0.12995232178240004,0.1160914765396475,0.09063491559133396,-0.09832536852196296,-0.02391437805398781,0.0238127844862589,0.03858908575067456,-0.11067194926101076,-0.1026667191500007,-0.11642373815269848
